rutid,desokod,kommunkod,e,n,lon,lat,befolkning_2025,befolkning_65_plus_2025
3520006860000,2039A0030,2039,352499.999,6860500.0,12.197166,61.8486349,3,0
3520006862000,2039A0030,2039,352499.999,6862499.998,12.1955267,61.8665669,3,3
3530006861000,2039A0030,2039,353499.997,6861500.002,12.2153277,61.8579868,6,3
3530006862000,2039A0030,2039,353499.997,6862499.998,12.2145133,61.8669529,4,0
3540006859000,2039A0030,2039,354499.999,6859499.999,12.2359255,61.8404374,3,3
3540006860000,2039A0030,2039,354499.999,6860500.0,12.2351177,61.8494037,4,3
3540006861000,2039A0030,2039,354499.999,6861500.002,12.2343094,61.85837,7,0
3560006858000,2039A0030,2039,356500.0,6858500.002,12.2746645,61.8322288,3,3
3560006859000,2039A0030,2039,356500.0,6859499.999,12.2738683,61.8411954,4,0
3570006859000,2039A0030,2039,357499.998,6859499.999,12.2928405,61.8415706,4,3
3590006883000,2039A0030,2039,359500.003,6883499.998,12.3119187,62.057517,13,0
3590006884000,2039A0030,2039,359500.003,6884500.0,12.3111259,62.0664836,33,8
3590006885000,2039A0030,2039,359500.003,6885500.001,12.3103326,62.0754502,4,6
3590006887000,2039A0030,2039,359500.003,6887499.999,12.3087444,62.0933833,12,3
3590006889000,2039A0030,2039,359500.003,6889500.002,12.307154,62.1113164,3,0
3600006883000,2039A0030,2039,360500.001,6883499.998,12.3310262,62.0578876,7,8
3600006885000,2039A0030,2039,360500.001,6885500.001,12.3294514,62.0758211,10,6
3610006866000,2039A0030,2039,361500.0,6866499.999,12.3633404,61.9058157,3,0
3620006850000,2039A0030,2039,362499.998,6850500.001,12.3945584,61.7626991,15,6
3620006851000,2039A0030,2039,362499.998,6851499.997,12.3937995,61.7716667,25,7
3620006880000,2039A0030,2039,362499.998,6880499.999,12.3715674,62.0317196,5,6
3630006850000,2039A0030,2039,363500.0,6850500.001,12.4134842,61.7630573,18,8
3630006878000,2039A0030,2039,363500.0,6878500.001,12.3921956,62.0141474,6,6
3630006879000,2039A0030,2039,363500.0,6879499.998,12.3914279,62.0231146,10,4
3630006881000,2039A0030,2039,363500.0,6881500.001,12.389891,62.0410491,3,3
3630006882000,2039A0030,2039,363500.0,6882499.997,12.3891217,62.0500163,3,0
3650006855000,2039A0030,2039,365500.001,6855500.003,12.4476198,61.8086057,3,3
3660006830000,2039A0020,2039,366499.999,6830500.001,12.4849014,61.5847501,3,3
3660006831000,2039A0020,2039,366499.999,6831499.998,12.4841741,61.5937186,4,3
3660006832000,2039A0020,2039,366499.999,6832499.999,12.4834464,61.602687,4,4
3660006855000,2039A0030,2039,366499.999,6855500.003,12.4665746,61.8089568,6,3
3660006876000,2039A0030,2039,366499.999,6876499.998,12.4509422,61.9972821,4,0
3670006830000,2039A0020,2039,367499.998,6830500.001,12.5037198,61.5850953,3,0
3670006831000,2039A0020,2039,367499.998,6831499.998,12.502998,61.5940639,9,6
