kommun,paketbrev_tusen,b2c_tusen,c2x_tusen,b2b_tusen,total_paket_tusen,aktorstjanster,aktorer,typer_servicepunkt,median_leveransdagar_per_vecka,befolkning_kn,arbetsstallen,kommuntyp,servicenoder,enaktor_noder,noder_utan_kand_leveransfrekvens,median_narmaste_nod_km,max_narmaste_nod_km,median_aktorer_per_nod,servicepunkter,b2c_tusen_per_servicepunkt,total_paket_tusen_per_servicepunkt,servicepunkter_per_10000_inv,b2c_tusen_per_servicenod,total_paket_tusen_per_servicenod,servicenoder_per_10000_inv,andel_enaktor_noder,andel_noder_utan_kand_leveransfrekvens,screening_efterfragetryck,screening_nodgleshet,screening_aktorberoende,screening_leveransunderlag
Avesta,155.045,338.42399999999935,12.406999999999995,133.7020000000001,639.5779999999995,38,7,3,5.0,22379,2655,4. Landsbygdskommuner nära större städer,15,7,0,0.19606616023144244,11.02305890979572,2.0,38,8.905894736842088,16.83099999999999,16.980204656150853,22.561599999999956,42.6385333333333,6.7027123642700746,0.4666666666666667,0.0,86.66666666666667,46.666666666666664,46.666666666666664,45.5
Borlänge,284.4009999999999,687.4609999999984,28.794000000000032,365.6929999999993,1366.3489999999974,82,7,3,5.0,51233,5323,2. Täta kommuner nära större städer,43,28,0,0.31681742301875765,6.312073706157693,1.0,82,8.383670731707298,16.6627926829268,16.005309078133234,15.987465116279033,31.775558139534823,8.393027931216208,0.6511627906976745,0.0,40.0,93.33333333333333,80.0,45.5
Falun,396.0350000000001,903.8619999999984,46.209999999999944,370.17399999999884,1716.2809999999974,91,8,4,5.0,59770,8337,2. Täta kommuner nära större städer,39,18,0,0.3541719182940219,8.465463931089158,2.0,91,9.932549450549432,18.860230769230743,15.22502927890246,23.175948717948675,44.007205128205065,6.525012548101054,0.46153846153846156,0.0,93.33333333333333,100.0,40.0,45.5
Gagnef,77.64500000000001,150.429,7.5249999999999995,36.83500000000001,272.434,23,6,2,5.0,10371,1708,4. Landsbygdskommuner nära större städer,9,2,0,0.2328788606636395,7.116214364698775,2.0,23,6.540391304347827,11.844956521739132,22.177224954199207,16.714333333333332,30.270444444444447,8.678044547295343,0.2222222222222222,0.0,46.666666666666664,73.33333333333333,6.666666666666667,45.5
Hedemora,102.19199999999995,225.16200000000015,10.408999999999999,79.56800000000003,417.33100000000013,22,6,4,5.0,15206,2158,4. Landsbygdskommuner nära större städer,10,3,0,0.270195337947723,11.745196069352646,2.0,22,10.23463636363637,18.969590909090915,14.467973168486123,22.516200000000016,41.733100000000015,6.576351440220965,0.3,0.0,80.0,86.66666666666667,13.333333333333334,45.5
Leksand,102.15399999999998,246.15199999999993,10.519999999999994,91.87500000000001,450.7009999999999,27,7,5,5.0,16110,3346,4. Landsbygdskommuner nära större städer,13,8,0,0.19904474397946872,6.67675189202751,1.0,27,9.116740740740738,16.692629629629625,16.75977653631285,18.934769230769227,34.66930769230768,8.069522036002484,0.6153846153846154,0.0,53.333333333333336,53.333333333333336,73.33333333333333,45.5
Ludvika,164.0300000000001,390.8119999999998,15.758999999999991,159.56900000000005,730.17,41,7,4,5.0,26576,2466,2. Täta kommuner nära större städer,19,7,0,0.2533857243950032,5.22226413748883,2.0,41,9.531999999999995,17.809024390243902,15.427453341360627,20.569052631578938,38.43,7.149307645996388,0.3684210526315789,0.0,60.0,80.0,26.666666666666668,45.5
Malung-Sälen,74.81999999999998,184.6080000000001,8.756000000000002,87.79700000000005,355.9810000000001,21,6,3,5.0,10209,2628,6. Landsbygdskommuner mycket avlägset belägna,12,7,2,0.16769317219254934,26.25704641985266,1.0,21,8.790857142857147,16.951476190476196,20.57008521892448,15.384000000000007,29.665083333333342,11.754334410813989,0.5833333333333334,0.16666666666666666,26.666666666666668,26.666666666666668,66.66666666666666,63.0
Mora,131.086,285.6629999999999,16.254000000000012,155.19200000000006,588.1949999999999,31,7,4,5.0,20497,4291,3. Täta kommuner avlägset belägna,18,12,0,0.11697461179719504,20.289219856044216,1.0,31,9.214935483870965,18.974032258064515,15.124164511879787,15.87016666666666,32.677499999999995,8.781772942381812,0.6666666666666666,0.0,33.33333333333333,20.0,90.0,45.5
Orsa,47.167,103.39800000000008,5.948000000000001,28.864,185.3770000000001,12,6,3,5.0,6845,1418,5. Landsbygdskommuner avlägset belägna,5,2,0,0.19332724038746119,14.61893427550635,3.0,12,8.616500000000007,15.448083333333342,17.531044558071585,20.679600000000015,37.075400000000016,7.304601899196494,0.4,0.0,66.66666666666666,40.0,33.33333333333333,45.5
Rättvik,73.564,170.01400000000004,7.991,57.09799999999999,308.66700000000003,26,8,3,5.0,10989,2446,4. Landsbygdskommuner nära större städer,13,7,2,0.20700264262277152,23.57953887781094,1.0,26,6.5390000000000015,11.871807692307694,23.660023660023658,13.078000000000003,23.74361538461539,11.830011830011829,0.5384615384615384,0.15384615384615385,20.0,66.66666666666666,53.333333333333336,60.66666666666667
Smedjebacken,76.801,155.35600000000014,6.656000000000003,34.827,273.64000000000016,12,5,2,5.0,10795,1270,4. Landsbygdskommuner nära större städer,7,4,0,0.08056186006399375,0.5691689470184486,1.0,12,12.946333333333344,22.803333333333345,11.116257526632701,22.193714285714304,39.091428571428594,6.484483557202409,0.5714285714285714,0.0,73.33333333333333,13.333333333333334,60.0,45.5
