kluster_id,uuidadrpl,nodnamn,kommun,desokod,antal_deso_traf,befolkning_2024,befolkning_65_plus_2024,andel_65_plus_2024,kommunkod,area_km2,befolkning_per_km2_2024,antal_servicenoder
5241,93d67340-1c95-440a-bd39-1e156b22f648,Avesta ICA Kvantum,Avesta,2084C1060,1,2324,672,0.2891566265060241,2084,3.855,602.842,7
4950,8b644e1c-60e6-4fe6-9e1c-944c8bb01abc,Avesta Willys (Ute),Avesta,2084C1060,1,2324,672,0.2891566265060241,2084,3.855,602.842,7
6500,b910f277-fbe8-40d0-8f56-a8168a184dce,Direkten Avesta,Avesta,2084C1060,1,2324,672,0.2891566265060241,2084,3.855,602.842,7
1470,28421e8f-cbe7-409a-973b-ad089cb5bd0c,H&M Avesta,Avesta,2084C1060,1,2324,672,0.2891566265060241,2084,3.855,602.842,7
913,19663ade-ffdf-4b90-8d95-3d2285d58449,Hemköp Avesta,Avesta,2084C1040,1,2010,541,0.2691542288557214,2084,4.297,467.821,2
429,0c1fb25e-44bf-4935-865e-74f0392a1757,Hemköp Skogsbo,Avesta,2084C1090,1,2472,686,0.27750809061488674,2084,10.716,230.687,1
1232,21a6b336-fa46-4ba2-b864-20f53d0d1cb5,Ica Kvantum Avesta,Avesta,2084C1060,1,2324,672,0.2891566265060241,2084,3.855,602.842,7
5243,93db43ea-d605-4d31-a124-1fd60f6bda33,Lekextra Avesta                    ,Avesta,2084C1060,1,2324,672,0.2891566265060241,2084,3.855,602.842,7
1966,35c11892-aec9-46f1-a681-cc380ae04244,Paketbox Lidl Avesta,Avesta,2084C1040,1,2010,541,0.2691542288557214,2084,4.297,467.821,2
5996,aa86b149-7e46-4470-b116-b2ca5977b192,Paketskåp (Iboxen) Arvidsgatan     ,Avesta,2084C1070,1,1809,356,0.19679380873410723,2084,4.571,395.789,1
7678,dbe19b39-1af3-420e-a4b6-cc9c5dbb77f3,Postnord Avesta,Avesta,2084C1060,1,2324,672,0.2891566265060241,2084,3.855,602.842,7
8441,f1f17d31-d156-4b5a-8753-04761f42d6ed,ICA Nära Fors,Avesta,2084A0020,1,1978,598,0.3023255813953488,2084,162.805,12.15,1
1766,2fe8894b-93f0-44e0-a319-50744c804c7f,Horndal ICA,Avesta,2084B2010,1,1081,371,0.34320074005550416,2084,11.046,97.868,1
8901,fe565273-1b50-4cbe-9d7b-68a2d2ec33d2,Karlbo OKQ8,Avesta,2084C1030,1,2064,480,0.23255813953488372,2084,13.635,151.375,1
2884,4ff6a6c6-f680-4b86-a9dc-91cc0dddce0f,Krylbo Coop,Avesta,2084C1020,1,1245,332,0.26666666666666666,2084,2.091,595.367,1
7318,d1424d9d-545d-4aa0-8874-22c3bb8ecd04,Borlänge Direkten,Borlänge,2081C1070,1,2046,336,0.16422287390029325,2081,0.777,2633.538,3
5862,a6d6cb27-14e9-410b-9c2e-a0f56afc19f1,Borlänge ICA Maxi,Borlänge,2081C1090,1,1928,345,0.17894190871369295,2081,1.349,1429.477,2
2295,3ee78753-7e44-4ec7-a604-9cf595c225cd,Borlänge Tempo,Borlänge,2081C1100,1,2052,476,0.23196881091617932,2081,0.893,2298.443,7
2277,3e751831-d375-4e53-922b-19ac0e0b4eff,Bygatan OKQ8,Borlänge,2081C1080,1,2350,441,0.1876595744680851,2081,1.578,1488.926,4
4505,7e130053-7397-44ec-95be-afa2328f6d5e,Coop Forssa,Borlänge,2081C1160,1,1619,506,0.3125386040765905,2081,2.125,762.033,1
7781,de711152-6534-4032-a023-84e70f3f78dc,Dhl Borlänge                       ,Borlänge,2081C1060,1,2079,424,0.20394420394420396,2081,10.668,194.883,2
368,0a32687b-72ff-4c84-81e9-cc3050c65c45,Film & Fabel,Borlänge,2081C1120,1,1804,331,0.1834811529933481,2081,1.026,1757.899,1
1391,261a25a3-701f-47fe-aad9-6aca3d9b9eee,Hagalund Livs,Borlänge,2081C1130,1,1573,518,0.3293070565797839,2081,0.499,3153.232,1
5944,a9260cec-0c3f-4deb-8d13-81a45ad91af4,Hemköps Spelbutik,Borlänge,2081C1050,1,1840,557,0.3027173913043478,2081,2.826,651.008,4
5090,8fb346fc-617e-4ee8-9e74-ead003186d3e,ICA Kvarnen (Ute),Borlänge,2081C1230,1,1679,423,0.2519356759976176,2081,3.494,480.565,1
8940,ff890499-1fd7-43b0-9051-d8d50fee34da,Ica Nära Domnarvet,Borlänge,2081C1210,1,2386,370,0.1550712489522213,2081,4.449,536.265,1
587,101bb93a-dd03-4f7c-9e3d-84fd3ea6ad21,Ica Trumpeten,Borlänge,2081C1180,1,2276,378,0.16608084358523725,2081,0.605,3761.986,3
3293,5b7a7cc9-e14a-41ec-90b7-78b323ab663d,Kupolen Köpcentrum,Borlänge,2081C1100,1,2052,476,0.23196881091617932,2081,0.893,2298.443,7
7882,e0f18389-221c-4bd2-8d1b-fc943d4bd74d,Liljan Livs,Borlänge,2081C1080,1,2350,441,0.1876595744680851,2081,1.578,1488.926,4
