kluster_id,nodnamn,adress,postnummer,postort,kommun,kommuntyp,uuidadrpl,e,n,lon,lat,aktorstjanster,antal_aktorer,aktorer,antal_servicetyper,servicetyper,median_leveransdagar_per_vecka,min_leveransdagar_per_vecka,max_leveransdagar_per_vecka,antal_kanda_leveransfrekvenser,befolkning_kn,arbetsstallen,avlamningsstallen_kn,en_aktor,leveransfrekvens_saknas,narmaste_annan_nod_km,narmaste_annan_nod_id,qa_nara_annan_nod_under_25m,narmaste_nod_med_annan_aktor_km
5241,Avesta ICA Kvantum,Myntgatan 5,77430,Avesta,Avesta,4. Landsbygdskommuner nära större städer,93d67340-1c95-440a-bd39-1e156b22f648,565189.273,6668196.913,16.17393460674599,60.145520680257604,1,1,Instabee,1,Paketbox/skåp,5.0,5.0,5.0,1,22379,2655,12996,True,False,0.03401298484388458,1232,False,0.03401298484388458
4950,Avesta Willys (Ute),Get Johannas väg 22,77463,Avesta,Avesta,4. Landsbygdskommuner nära större städer,8b644e1c-60e6-4fe6-9e1c-944c8bb01abc,566478.054,6669004.486,16.197400806517127,60.15256268970152,1,1,Instabee,1,Paketbox/skåp,6.0,6.0,6.0,1,22379,2655,12996,True,False,1.1774792617966814,7678,False,1.1774792617966814
6500,Direkten Avesta,Myntgatan 12,77430,Avesta,Avesta,4. Landsbygdskommuner nära större städer,b910f277-fbe8-40d0-8f56-a8168a184dce,565215.0,6668286.0,16.1744263045117,60.14631632445693,1,1,UPS,1,Ombud,5.0,5.0,5.0,1,22379,2655,12996,True,False,0.09272740748047188,5241,False,0.09272740748047188
1470,H&M Avesta,Kungsgatan 22,77430,Avesta,Avesta,4. Landsbygdskommuner nära större städer,28421e8f-cbe7-409a-973b-ad089cb5bd0c,564963.912,6668212.512,16.169882248590575,60.145696608918726,1,1,Instabee,1,Paketbox/skåp,5.0,5.0,5.0,1,22379,2655,12996,True,False,0.09276959540701024,5243,False,0.09276959540701024
913,Hemköp Avesta,Prästgatan 26,77433,Avesta,Avesta,4. Landsbygdskommuner nära större städer,19663ade-ffdf-4b90-8d95-3d2285d58449,564433.752,6667861.244,16.160226242948287,60.14262714728228,4,4,Bring; Instabee; PostNord; Schenker,2,Ombud; Paketbox/skåp,5.0,5.0,6.0,4,22379,2655,12996,False,False,0.18986780938321596,5996,False,0.18986780938321596
429,Hemköp Skogsbo,Rutboleden 1,77460,Avesta,Avesta,4. Landsbygdskommuner nära större städer,0c1fb25e-44bf-4935-865e-74f0392a1757,565297.108,6669450.318,16.176277906767268,60.156755482783716,5,4,Bring; DHL; PostNord; Schenker,2,Ombud; Paketbox/skåp,5.0,5.0,5.0,5,22379,2655,12996,False,False,0.308735370868208,7678,False,1.1672095479338453
1232,Ica Kvantum Avesta,Myntgatan 3,77430,Avesta,Avesta,4. Landsbygdskommuner nära större städer,21a6b336-fa46-4ba2-b864-20f53d0d1cb5,565223.07,6668193.086,16.174541851795574,60.145480931011456,2,2,Bring; PostNord,1,Ombud,5.0,5.0,5.0,2,22379,2655,12996,False,False,0.03401298484388458,5241,False,0.03401298484388458
5243,Lekextra Avesta                    ,Markustorget 1,77430,Avesta,Avesta,4. Landsbygdskommuner nära större städer,93db43ea-d605-4d31-a124-1fd60f6bda33,564873.106,6668231.498,16.16825344022994,60.14588147768135,1,1,DHL,1,Ombud,5.0,5.0,5.0,1,22379,2655,12996,True,False,0.09276959540701024,1470,False,0.09276959540701024
1966,Paketbox Lidl Avesta,Axel Johnsons väg 99,77434,Avesta,Avesta,4. Landsbygdskommuner nära större städer,35c11892-aec9-46f1-a681-cc380ae04244,564526.414,6667688.456,16.161839650001966,60.141061369753295,1,1,PostNord,1,Paketbox/skåp,5.0,5.0,5.0,1,22379,2655,12996,True,False,0.19606616023144244,913,False,0.19606616023144244
5996,Paketskåp (Iboxen) Arvidsgatan     ,Arvidsgatan 2A,77433,Avesta,Avesta,4. Landsbygdskommuner nära större städer,aa86b149-7e46-4470-b116-b2ca5977b192,564286.0,6667742.0,16.157528765140903,60.141579936622655,2,2,DHL; Iboxen,1,Paketbox/skåp,6.0,5.0,7.0,2,22379,2655,12996,False,False,0.18986780938321596,913,False,0.18986780938321596
7678,Postnord Avesta,Högbostigen 4,77463,Avesta,Avesta,4. Landsbygdskommuner nära större städer,dbe19b39-1af3-420e-a4b6-cc9c5dbb77f3,565308.608349441,6669141.79689669,16.17638605876147,60.15398400170769,1,1,PostNord,1,Egen regi,5.0,5.0,5.0,1,22379,2655,12996,True,False,0.308735370868208,429,False,0.308735370868208
8441,ICA Nära Fors,Bruksvägen 14,77497,Fors,Avesta,4. Landsbygdskommuner nära större städer,f1f17d31-d156-4b5a-8753-04761f42d6ed,572538.153,6675214.861,16.308739799438552,60.20728003548216,5,5,Bring; DHL; Instabee; PostNord; Schenker,2,Ombud; Paketbox/skåp,5.0,2.0,5.0,5,22379,2655,12996,False,False,8.677186037560022,4950,False,10.081551696972284
