"Region","Alder","Kon","000007Y7 2024"
"2021A0010_DeSO2025","totalt","1+2",1402
"2021A0010_DeSO2025","65-69","1+2",87
"2021A0010_DeSO2025","70-74","1+2",93
"2021A0010_DeSO2025","75-79","1+2",97
"2021A0010_DeSO2025","80-","1+2",114
"2021A0020_DeSO2025","totalt","1+2",999
"2021A0020_DeSO2025","65-69","1+2",88
"2021A0020_DeSO2025","70-74","1+2",88
"2021A0020_DeSO2025","75-79","1+2",64
"2021A0020_DeSO2025","80-","1+2",91
"2021B2010_DeSO2025","totalt","1+2",2093
"2021B2010_DeSO2025","65-69","1+2",148
"2021B2010_DeSO2025","70-74","1+2",114
"2021B2010_DeSO2025","75-79","1+2",131
"2021B2010_DeSO2025","80-","1+2",187
"2021C1010_DeSO2025","totalt","1+2",2258
"2021C1010_DeSO2025","65-69","1+2",99
"2021C1010_DeSO2025","70-74","1+2",126
"2021C1010_DeSO2025","75-79","1+2",145
"2021C1010_DeSO2025","80-","1+2",201
"2023A0010_DeSO2025","totalt","1+2",1569
"2023A0010_DeSO2025","65-69","1+2",153
"2023A0010_DeSO2025","70-74","1+2",134
"2023A0010_DeSO2025","75-79","1+2",140
"2023A0010_DeSO2025","80-","1+2",134
"2023A0020_DeSO2025","totalt","1+2",1562
"2023A0020_DeSO2025","65-69","1+2",121
"2023A0020_DeSO2025","70-74","1+2",103
"2023A0020_DeSO2025","75-79","1+2",94
"2023A0020_DeSO2025","80-","1+2",144
"2023A0030_DeSO2025","totalt","1+2",2191
"2023A0030_DeSO2025","65-69","1+2",112
"2023A0030_DeSO2025","70-74","1+2",99
"2023A0030_DeSO2025","75-79","1+2",84
"2023A0030_DeSO2025","80-","1+2",96
"2023C1010_DeSO2025","totalt","1+2",1592
"2023C1010_DeSO2025","65-69","1+2",88
"2023C1010_DeSO2025","70-74","1+2",102
"2023C1010_DeSO2025","75-79","1+2",128
"2023C1010_DeSO2025","80-","1+2",195
"2023C1020_DeSO2025","totalt","1+2",1343
"2023C1020_DeSO2025","65-69","1+2",89
"2023C1020_DeSO2025","70-74","1+2",89
"2023C1020_DeSO2025","75-79","1+2",95
"2023C1020_DeSO2025","80-","1+2",92
"2023C1030_DeSO2025","totalt","1+2",1997
"2023C1030_DeSO2025","65-69","1+2",110
"2023C1030_DeSO2025","70-74","1+2",126
"2023C1030_DeSO2025","75-79","1+2",119
"2023C1030_DeSO2025","80-","1+2",185
"2026A0010_DeSO2025","totalt","1+2",1703
"2026A0010_DeSO2025","65-69","1+2",114
"2026A0010_DeSO2025","70-74","1+2",126
"2026A0010_DeSO2025","75-79","1+2",139
"2026A0010_DeSO2025","80-","1+2",163
"2026A0020_DeSO2025","totalt","1+2",1778
"2026A0020_DeSO2025","65-69","1+2",119
"2026A0020_DeSO2025","70-74","1+2",127
"2026A0020_DeSO2025","75-79","1+2",88
"2026A0020_DeSO2025","80-","1+2",93
"2026B2010_DeSO2025","totalt","1+2",2016
"2026B2010_DeSO2025","65-69","1+2",118
"2026B2010_DeSO2025","70-74","1+2",122
"2026B2010_DeSO2025","75-79","1+2",122
"2026B2010_DeSO2025","80-","1+2",138
"2026B3010_DeSO2025","totalt","1+2",1485
"2026B3010_DeSO2025","65-69","1+2",112
"2026B3010_DeSO2025","70-74","1+2",101
"2026B3010_DeSO2025","75-79","1+2",78
"2026B3010_DeSO2025","80-","1+2",104
