koppling_id,malomrade,rus_avsnitt,rus_sidreferens,rus_formulering_kort,kopplingsstyrka,kausal_lank,indikator,datakalla,ansvarig_aktor,nulage,onskat_lage,begransning,evidensstatus,rus_kalla
RUS01,"Övergripande mål","Ett hållbart Dalarna med utvecklingskraft i alla delar av länet","Tryckt s. 4–5","Utvecklingskraft i länets alla delar",Direkt,"Om paketservice är svår att nå eller försvinner kan boendes och företags praktiska förutsättningar att verka på plats försämras.","Skillnad i restid och tillgång mellan delområden; antal verifierat drabbade platser; berörd befolkning och arbetsställen","Förändringsregister; fysisk nodmodell; lokal befolknings- och arbetsställesgeografi; vägnät","Region Dalarna tillsammans med berörda kommuner; mandat ska verifieras","Kommunvolymer 2024 och serviceutbud 2026 ger endast en orienterande regional baslinje.","Verifierad platsbaserad baslinje och uppföljningsbara skillnader i tillgång inom hela länet.","Strategin nämner inte paketservice uttryckligen; ett samband är en analytisk operationalisering och inte ett fastställt strategiskt åtagande.","Strategikoppling belagd; effekt ej analyserad","Dalastrategin 2030 – Tillsammans för ett hållbart Dalarna, upplaga 2026"
RUS02,"Tvärgående perspektiv","Vi tar tillvara olika platsers förutsättningar och möjligheter","Tryckt s. 9–10","Platsbaserat arbete och funktionella geografier",Direkt,"Restidsomland och vardags-/varuflöden kan synliggöra behov som kommunmedel döljer och ge mer träffsäkra platsjämförelser.","Befolkning och arbetsställen i funktionellt omland; restid till nod och alternativ; klassificering tätort/småort/landsbygd","Fysisk nodmodell; vägrestider; DeSO eller annan småområdesgeografi; arbetsställen; fritidshus","Region Dalarna och berörda kommuner; datavärdar ska anges per källa","Kommuntyp och kommunvärden finns men ingen verifierad lokal omlandstypologi.","Bingsjö, By och jämförelseplatser analyseras med reproducerbart definierade funktionella omland.","Omlandets avgränsning påverkar resultatet och måste dokumenteras; kommuntyp är endast ett grovt urval.","Påbörjad; lokal geografi saknas","Dalastrategin 2030 – Tillsammans för ett hållbart Dalarna, upplaga 2026"
RUS03,"Ett sammanhållet Dalarna","Goda livsmiljöer med känsla av närhet","Tryckt s. 21–22","Grundläggande service i alla delar och ökad tillgänglighet för boende, företag och besökare",Stark,"Längre restid eller bortfall av en lokal nod kan öka tids- och resebördan och minska faktisk tillgång till vardagsservice.","Andel befolkning, arbetsställen och fritidshus inom överenskommen restid; median och hög percentil för restid; förändring efter bortfall","Fysisk nodmodell; verifierade förändringshändelser; befolknings-/arbetsställesgeografi; fritidshus; vägnät","Berörda kommuner och Region Dalarna; paketaktörernas operativa roll ska verifieras","Nodernas koordinater finns men vägrestider, lokala omland och verifierade bortfall saknas.","Tillgång mäts före/efter förändring och fördelas på boende, företag och besökare/säsongsbefolkning.","Paketservice nämns inte explicit som grundläggande service i strategin; acceptabel restid måste förankras och får inte antas.","Datastödd nodbaslinje; tillgänglighet ej analyserad","Dalastrategin 2030 – Tillsammans för ett hållbart Dalarna, upplaga 2026"
RUS04,"Ett sammanhållet Dalarna","Regionalt rumsligt perspektiv och gemensamma kartunderlag","Tryckt s. 22","Regional samhällsplanering ska synliggöra funktionella samband och geografiska skillnader",Direkt,"En gemensam nod-, förändrings- och tillgänglighetskarta kan visa hur serviceberoenden korsar kommungränser och ge ett gemensamt beslutsunderlag.","Andel noder med kvalitetssäkrad geografi; antal gränsöverskridande omland; kartlagda första- och andrahandsalternativ","Fysisk nodmodell; förändringsregister; kommun- och länsgränser; vägnät; kollektivtrafik där relevant","Region Dalarna i samverkan med kommunerna","236 fysiska kluster kan härledas men historik, restider och funktionella samband är ännu inte integrerade.","Ett gemensamt versionshanterat kartunderlag med noder, erbjudanden, förändringar, restider och källstatus.","Koordinatsystem och snapshotdatum ska bekräftas; raka avstånd får inte presenteras som faktisk nåbarhet.","Påbörjad fysisk nodmodell","Dalastrategin 2030 – Tillsammans för ett hållbart Dalarna, upplaga 2026"
RUS05,"Ett sammanhållet Dalarna","En inkluderande, jämlik och jämställd region med god hälsa","Tryckt s. 23–24","Jämlika livsvillkor, inkludering och stärkta möjligheter för äldre",Stark,"Samma servicebortfall kan ge större konsekvens för äldre, personer utan bil eller med låg digital tillgång och därmed fördela tids- och resebördan ojämlikt.","Restid per åldersgrupp och områdestyp; antal äldre i omland utan nära alternativ; proxy för bil- och digitalt beroende","Småområdesdemografi; väg- och kollektivtrafik; bilinnehav där tillgängligt; kvalitativa underlag i Fas 2","Berörda kommuner och Region Dalarna; ansvar per datakälla och insats ska verifieras","Endast kommunbefolkning finns i servicepunktsfilen; den är upprepad och kan inte beskriva lokala grupper.","Fördelningsanalys som visar vilka grupper som bär ökad tillgänglighetsbörda och vilka uppgifter som kräver intervjuer.","Demografiska samband är exponering, inte bevisad konsekvens; känsliga individdata ska inte användas.","Datagap; analysram definierad","Dalastrategin 2030 – Tillsammans för ett hållbart Dalarna, upplaga 2026"
RUS06,"Ett sammanhållet Dalarna","Engagemang och delaktighet för utveckling och god beredskap","Tryckt s. 22–23","God beredskap genom samverkan mellan organisationer, individer, offentlig sektor, näringsliv och civilsamhälle",Stark,"Beroende av en enda fysisk nod eller aktör kan öka sårbarheten, medan lokala nätverk, redundans och tydliga åtaganden kan förbättra återhämtningsförmågan.","Restid till näst närmaste nod och alternativ aktör; antal single-point-of-failure-områden; verifierade reservlösningar; aktörer med dokumenterade åtaganden","Fysisk nodmodell; förändringsregister; aktörs-/mandatmatris; kommunala beredskaps- och serviceunderlag","Region Dalarna, berörda kommuner, lokala noder, civilsamhälle och paketaktörer; mandat ska källbeläggas","Aktörsredundans kan härledas för nulägesfilen men reservlösningar, mandat och faktisk funktionsförmåga är okända.","Kritiska beroenden och reservlösningar är verifierade och ansvariga aktörer har dokumenterade roller.","Flera aktörsrader på samma adress är inte geografisk redundans; lokal samverkan eller socialt kapital kan inte utläsas ur noddata.","Proxy påbörjad; ansvar ej verifierat","Dalastrategin 2030 – Tillsammans för ett hållbart Dalarna, upplaga 2026"
RUS07,"Ett konkurrenskraftigt Dalarna","Livskraftigt näringsliv för hållbar tillväxt","Tryckt s. 15–16","Livskraftigt och diversifierat näringsliv i hela länet",Bidragande,"Tillförlitlig paketservice kan påverka småföretags tidskostnad, lagerhållning, kundräckvidd och möjlighet att bedriva verksamhet på landsbygden.","Arbetsställen och företag i omland utan nära alternativ; restidsförändring; lokal B2B-volym eller annan verifierad efterfrågeproxy","Arbetsställesgeografi; företagsdata; verifierade serviceförändringar; paketvolym under kommunnivå; Fas 2-intervjuer","Berörda kommuner, näringslivsaktörer och paketaktörer; Region Dalarnas samordningsroll ska preciseras","B2B och övrig paketvolym finns endast per kommun 2024; lokala företagseffekter är inte belagda.","Företagsexponering mäts geografiskt och faktisk påverkan verifieras med primärdata eller intervjuer.","Kommunvolym får inte fördelas på en nod eller användas som bevis för företagskonsekvens; samband och kausal effekt ska hållas isär.","Kommunal proxy finns; lokal evidens saknas","Dalastrategin 2030 – Tillsammans för ett hållbart Dalarna, upplaga 2026"
RUS08,"Ett konkurrenskraftigt Dalarna","Väl utvecklad och hållbar transportinfrastruktur","Tryckt s. 16–17","Hållbara och konkurrenskraftiga godstransporter samt tillgänglig och tillförlitlig infrastruktur",Bidragande,"Paketnätets noder, rutter och alternativa flöden kan påverka leveransernas tillförlitlighet och möjligheten att samordna gods över geografiska gränser.","Leveransfrekvens; ruttäckning; avbrott och återställningstid; överlappande noder/flöden; tillförlitlighet till företag","Paketaktörernas rutt- och frekvensdata; fysisk nodmodell; vägnät; andra transportflöden","Paket- och fraktaktörer, Trafikverket, berörda kommuner och Region Dalarna; roller ska verifieras","Leveransfrekvens finns för 474 erbjudanderader men rutter, kapacitet, avbrott och faktisk tillförlitlighet saknas.","Kritiska godsflöden och möjliga samordningar analyseras med aktörsverifierade rutt- och kapacitetsdata.","Leveransfrekvens per erbjudande är inte samma sak som kapacitet eller tillförlitlighet; kommersiellt känsliga data kan begränsa analysen.","Delvis datastödd; centrala flödesdata saknas","Dalastrategin 2030 – Tillsammans för ett hållbart Dalarna, upplaga 2026"
RUS09,"Ett klimatsmart Dalarna","Resurseffektivt utan klimatpåverkan","Tryckt s. 11–13","Resurseffektiva transporter och nya mobilitetslösningar för glesa miljöer",Hypotes,"Samlastning eller samordning med andra återkommande flöden kan minska eller öka transportarbete beroende på omvägar, fyllnadsgrad och ersatta resor.","Fordonskilometer, energianvändning och utsläpp i basscenario respektive alternativscenario; fyllnadsgrad; antal faktiskt ersatta resor","Aktörsverifierade rutter och fordonsdata; andra samhällsflöden; emissionsfaktorer; scenarioantaganden","Transportaktörer, Region Dalarna och berörda kommuner; ägarskap för scenarioanalys ska utses","Inga rutter, fordonskilometer, fyllnadsgrader eller utsläpp finns i nuvarande underlag.","Minst ett transparent basscenario och ett alternativscenario med känslighetsanalys och dokumenterade antaganden.","Klimatnytta får inte antas av geografiskt överlapp; rebound, omvägar och privata hämtningsresor måste ingå där data tillåter.","Hypotes; datagap","Dalastrategin 2030 – Tillsammans för ett hållbart Dalarna, upplaga 2026"
RUS10,"Genomförande","Från ord till handling – verktyg för strategisk samverkan och överenskommelser","Tryckt s. 7–8","Tydlig ansvarsfördelning, gemensam analys och dokumenterade åtaganden",Direkt,"En källbelagd mandatmatris och formella överenskommelser minskar risken att en möjlig aktör förväxlas med en aktör som har mandat, resurser eller ett faktiskt åtagande.","Andel kritiska aktiviteter med namngiven ansvarig, mandatgrund, tidsplan och uppföljningsmått; antal verifierade samverkansåtaganden","Aktörs-/mandatmatris; avtal; avsiktsförklaringar; beslut; mötes- och uppföljningslogg","Region Dalarna och berörda parter enligt verifierad överenskommelse","Första aktörslistan innehåller observerade och möjliga aktörer men de flesta formella ansvar är ännu inte kartlagda.","Varje prioriterad åtgärd har verifierad ansvarig, mandatgrund, resurs, tidsplan och uppföljningspunkt.","Strategisk relevans eller närvaro i källdata innebär inte rättsligt eller operativt ansvar; ansvar får inte tilldelas utan källa.","Påbörjad; ansvar ej verifierat","Dalastrategin 2030 – Tillsammans för ett hållbart Dalarna, upplaga 2026"
