kommun,paketbrev_tusen,b2c_tusen,c2x_tusen,b2b_tusen,total_paket_tusen,servicepunkter,aktorer,typer_servicepunkt,unika_kluster,median_leveransdagar_per_vecka,min_leveransdagar_per_vecka,max_leveransdagar_per_vecka,befolkning_kn,arbetsstallen,avlamningsstallen_kn,avlamningsstallen_sbb_kn,avlamningsstallen_lbb_kn,kommuntyp,b2c_tusen_per_servicepunkt,total_paket_tusen_per_servicepunkt,servicepunkter_per_10000_inv,servicepunkter_per_1000_arbetsstallen,servicepunkter_per_1000_avlamningsstallen,b2c_tusen_per_1000_avlamningsstallen,preliminar_screeningpoang,preliminar_screeningrank
Smedjebacken,76.801,155.35600000000014,6.656000000000003,34.827,273.64000000000016,12,5,2,7,5.0,2.0,6.0,10795,1270,6200,3503,2697,4. Landsbygdskommuner nära större städer,12.946333333333344,22.803333333333345,11.116257526632701,9.448818897637794,1.935483870967742,25.057419354838732,0.87,1.0
Hedemora,102.19199999999995,225.16200000000015,10.408999999999999,79.56800000000003,417.33100000000013,22,6,4,10,5.0,2.0,6.0,15206,2158,8971,6058,2913,4. Landsbygdskommuner nära större städer,10.23463636363637,18.969590909090915,14.467973168486123,10.194624652455978,2.4523464496711624,25.09887415003903,0.7933333333333333,2.0
Säter,76.12000000000002,156.8710000000001,6.715000000000002,40.357,280.0630000000001,16,5,3,6,5.0,2.0,6.0,11194,1759,5859,3453,2406,4. Landsbygdskommuner nära större städer,9.804437500000006,17.503937500000006,14.293371448990529,9.09607731665719,2.73084144051886,26.774364225977145,0.7566666666666667,3.0
Falun,396.0350000000001,903.8619999999984,46.209999999999944,370.17399999999884,1716.2809999999974,91,8,4,39,5.0,2.0,7.0,59770,8337,32639,25207,7432,2. Täta kommuner nära större städer,9.932549450549432,18.860230769230743,15.22502927890246,10.915197313182201,2.788075615061736,27.692698918471716,0.7166666666666667,4.0
Mora,131.086,285.6629999999999,16.254000000000012,155.19200000000006,588.1949999999999,31,7,4,18,5.0,1.0,6.0,20497,4291,12083,7354,4729,3. Täta kommuner avlägset belägna,9.214935483870965,18.974032258064515,15.124164511879787,7.22442321137264,2.565588016221137,23.64172804767027,0.65,5.0
Ludvika,164.0300000000001,390.8119999999998,15.758999999999991,159.56900000000005,730.17,41,7,4,19,5.0,1.0,6.0,26576,2466,15056,11966,3090,2. Täta kommuner nära större städer,9.531999999999995,17.809024390243902,15.427453341360627,16.62611516626115,2.7231668437832095,25.95722635494154,0.6333333333333333,6.0
Leksand,102.15399999999998,246.15199999999993,10.519999999999994,91.87500000000001,450.7009999999999,27,7,5,13,5.0,1.0,6.0,16110,3346,10108,4785,5323,4. Landsbygdskommuner nära större städer,9.116740740740738,16.692629629629625,16.75977653631285,8.069336521219366,2.671151563118322,24.352196280174113,0.5266666666666667,7.0
Avesta,155.045,338.42399999999935,12.406999999999995,133.7020000000001,639.5779999999995,38,7,3,15,5.0,2.0,7.0,22379,2655,12996,10490,2506,4. Landsbygdskommuner nära större städer,8.905894736842088,16.83099999999999,16.980204656150853,14.312617702448211,2.923976608187134,26.04062788550318,0.47333333333333333,8.0
Borlänge,284.4009999999999,687.4609999999984,28.794000000000032,365.6929999999993,1366.3489999999974,82,7,3,43,5.0,2.0,7.0,51233,5323,28367,25157,3210,2. Täta kommuner nära större städer,8.383670731707298,16.6627926829268,16.005309078133234,15.404846890851024,2.8906828356893572,24.23453308421752,0.43,9.0
Malung-Sälen,74.81999999999998,184.6080000000001,8.756000000000002,87.79700000000005,355.9810000000001,21,6,3,12,5.0,2.0,6.0,10209,2628,6734,3561,3173,6. Landsbygdskommuner mycket avlägset belägna,8.790857142857147,16.951476190476196,20.57008521892448,7.9908675799086755,3.118503118503119,27.41431541431543,0.39666666666666667,10.0
Orsa,47.167,103.39800000000008,5.948000000000001,28.864,185.3770000000001,12,6,3,5,5.0,1.0,5.0,6845,1418,4205,2430,1775,5. Landsbygdskommuner avlägset belägna,8.616500000000007,15.448083333333342,17.531044558071585,8.462623413258111,2.853745541022592,24.589298454221183,0.39,11.0
Gagnef,77.64500000000001,150.429,7.5249999999999995,36.83500000000001,272.434,23,6,2,9,5.0,5.0,6.0,10371,1708,5465,2435,3030,4. Landsbygdskommuner nära större städer,6.540391304347827,11.844956521739132,22.177224954199207,13.466042154566743,4.208600182982617,27.525892040256178,0.2833333333333333,12.0
Rättvik,73.564,170.01400000000004,7.991,57.09799999999999,308.66700000000003,26,8,3,13,5.0,1.0,6.0,10989,2446,7259,4073,3186,4. Landsbygdskommuner nära större städer,6.5390000000000015,11.871807692307694,23.660023660023658,10.62959934587081,3.581760573081692,23.42113238738119,0.22999999999999998,13.0
Älvdalen,49.535,120.67800000000003,5.127000000000001,43.279,218.61900000000003,21,7,3,15,5.0,2.0,5.0,6861,1716,4431,2042,2389,6. Landsbygdskommuner mycket avlägset belägna,5.74657142857143,10.410428571428573,30.60778312199388,12.237762237762238,4.739336492890995,27.234935680433317,0.17666666666666667,14.0
Vansbro,49.66199999999999,125.39100000000005,4.6899999999999995,44.364999999999995,224.10800000000006,24,7,3,12,5.0,2.0,5.0,6730,1363,4237,2110,2127,5. Landsbygdskommuner avlägset belägna,5.224625000000002,9.337833333333336,35.661218424962854,17.608217168011738,5.664385178192117,29.594288411612002,0.12333333333333334,15.0
