tract_id,municipality,tract,weekday,week_parity,places,anchor_place,anchor_lat,anchor_lon,source_flags,source_url
gagnef-1,Gagnef,1,Tisdag,Jämna,"Färmsnäs, Högsveden, Borgsheden, Nordanholen, Heden, Högberget Skampervägen, Lassas Hage, Lindbyn, Nordanbyn, Nyåkern, Heden",Färmsnäs,60.5215281,14.9837337,källstavning:jebruari,https://www.dalavattenavfall.se/avfall-och-atervinning/sophamtningsschema.html
gagnef-2,Gagnef,2,Onsdag,Jämna,"Björbo Centrum, Holarna, Nybyn, Gybäcksholan, Handbacken, Forsen, Gåsholmen, Källbäcken",Björbo,60.456683,14.7272515,,https://www.dalavattenavfall.se/avfall-och-atervinning/sophamtningsschema.html
gagnef-3,Gagnef,3,Fredag,Jämna,"Djurås Centrum, Skogen, Tägtvägen, Fagervägen, Skogsvägen, Djurås By, Färjbacken, Kiltäppan",Djurås Centrum,60.5603155,15.1318023,,https://www.dalavattenavfall.se/avfall-och-atervinning/sophamtningsschema.html
gagnef-4,Gagnef,4,Måndag,Udda,"Gräv, Gråda, Gärde, Österfors, Nedre Tjärna, Kyrkbyn, Kyrkbyvägen, Tegelbruksvägen, Rännarhedsvägen, Wernervägen, Sörbyn, Tallbacken",Gräv,60.6166722,15.048735,,https://www.dalavattenavfall.se/avfall-och-atervinning/sophamtningsschema.html
gagnef-5,Gagnef,5,Tisdag,Udda,"Benarvet, Jugasåkern, Västanbäcken, Myrholen, Heden, Björka, By, Ellheden, Nysäl, Bröttjärna, Holarna, Stängsla, Backen, Ersholen",Björka,60.5324845,15.0826398,,https://www.dalavattenavfall.se/avfall-och-atervinning/sophamtningsschema.html
gagnef-6,Gagnef,6,Onsdag,Udda,"Mjälgen, Bodarna, Myrheden, Arvslindan, Bäsna",Mjälgen,60.5543357,15.1097482,källstavning:jebruari,https://www.dalavattenavfall.se/avfall-och-atervinning/sophamtningsschema.html
gagnef-7,Gagnef,7,Torsdag,Udda,"Djurmo, Bäckan, Sifferbo",Djurmo,60.5495726,15.1895956,,https://www.dalavattenavfall.se/avfall-och-atervinning/sophamtningsschema.html
gagnef-8,Gagnef,8,Fredag,Udda,"Syrholen, Risholn, Mossel, Bäckbyn, Svedjebyn, Sälje Forsgärdet, Hagen, Holsåker",Syrholen,60.511934,14.8072939,datum_avviker_från_angiven_veckodag;källstavning:jebruari,https://www.dalavattenavfall.se/avfall-och-atervinning/sophamtningsschema.html
gagnef-9,Gagnef,9,Måndag,Jämna,"Övre Tjärna, Tjärna, Stationsområdet, Moje, Gröntuv, Hampgårdarna, Holen, Prosgårdarna",Övre Tjärna,60.6026112,15.0630233,,https://www.dalavattenavfall.se/avfall-och-atervinning/sophamtningsschema.html
gagnef-10,Gagnef,10,Torsdag,Jämna,"Rista, Mon, Lindan, Djur, Svedjan, Näset, Snobbrännan, Överbacka, Östtjärna, Västtjärna, Bomsarvet, Dunkarbacken, Gruvan, Nordåker, Gagnefsbyn, Nordbäck, Västerfors, Älvnäs",Rista,60.5316701,15.0240634,datum_avviker_från_angiven_veckodag,https://www.dalavattenavfall.se/avfall-och-atervinning/sophamtningsschema.html
